dt,open,high,low,close
2017-09-16 04:00:00,3823.01,3843.26,3816.0,3843.01
2017-09-16 05:00:00,3843.01,3964.64,3841.95,3905.84
2017-09-16 06:00:00,3905.84,3924.79,3813.04,3866.84
2017-09-16 07:00:00,3866.96,3945.0,3854.51,3933.0
2017-09-16 08:00:00,3933.18,3988.8,3905.0,3976.59
2017-09-16 09:00:00,3983.72,4034.0,3862.01,3902.29
2017-09-16 10:00:00,3914.33,3914.33,3675.0,3690.49
2017-09-16 11:00:00,3693.98,3868.24,3690.22,3814.3
2017-09-16 12:00:00,3814.26,3814.26,3700.0,3726.55
2017-09-16 13:00:00,3726.95,3796.98,3670.05,3759.74
2017-09-16 14:00:00,3753.99,3775.15,3705.0,3718.0
2017-09-16 15:00:00,3718.0,3759.68,3601.0,3620.98
2017-09-16 16:00:00,3620.56,3679.93,3600.0,3654.46
2017-09-16 17:00:00,3654.46,3679.97,3629.26,3678.35
2017-09-16 18:00:00,3679.97,3753.99,3675.46,3748.36
2017-09-16 19:00:00,3748.33,3750.0,3665.0,3723.55
2017-09-16 20:00:00,3722.51,3738.02,3694.52,3708.51
2017-09-16 21:00:00,3708.51,3727.99,3659.89,3727.99
2017-09-16 22:00:00,3727.99,3757.0,3718.0,3737.78
2017-09-16 23:00:00,3737.78,3750.0,3705.76,3726.51
2017-09-17 00:00:00,3726.51,3726.51,3673.0,3674.0
2017-09-17 01:00:00,3674.01,3674.01,3621.21,3642.1
2017-09-17 02:00:00,3642.1,3680.0,3621.21,3664.11
2017-09-17 03:00:00,3664.11,3664.11,3626.77,3639.93
2017-09-17 04:00:00,3639.93,3639.93,3571.05,3614.44
2017-09-17 05:00:00,3613.98,3626.93,3581.97,3589.01
2017-09-17 06:00:00,3588.94,3599.65,3551.0,3555.22
2017-09-17 07:00:00,3560.95,3584.8,3530.0,3530.0
2017-09-17 08:00:00,3530.01,3535.31,3475.64,3535.31
2017-09-17 09:00:00,3535.31,3629.03,3525.94,3601.88
2017-09-17 10:00:00,3605.61,3660.93,3581.27,3598.35
2017-09-17 11:00:00,3598.34,3618.95,3562.85,3581.12
2017-09-17 12:00:00,3581.12,3619.81,3574.39,3612.0
2017-09-17 13:00:00,3612.01,3696.0,3606.22,3690.81
2017-09-17 14:00:00,3690.81,3713.99,3644.86,3685.0
2017-09-17 15:00:00,3685.0,3720.0,3678.0,3716.48
2017-09-17 16:00:00,3716.48,3774.65,3716.05,3766.0
2017-09-17 17:00:00,3767.26,3836.34,3759.0,3820.81
2017-09-17 18:00:00,3821.58,3841.0,3760.0,3790.01
2017-09-17 19:00:00,3790.02,3807.85,3769.79,3787.02
2017-09-17 20:00:00,3787.02,3807.82,3757.1,3761.0
2017-09-17 21:00:00,3761.0,3770.06,3719.85,3749.38
2017-09-17 22:00:00,3749.38,3788.23,3741.0,3758.98
2017-09-17 23:00:00,3758.98,3759.0,3713.02,3719.97
2017-09-18 00:00:00,3719.98,3769.99,3717.56,3766.28
2017-09-18 01:00:00,3766.29,3805.19,3750.0,3775.01
2017-09-18 02:00:00,3775.16,3828.0,3775.15,3827.26
2017-09-18 03:00:00,3827.25,3827.25,3775.77,3791.98
2017-09-18 04:00:00,3791.64,3801.01,3774.41,3790.01
2017-09-18 05:00:00,3790.01,3888.88,3790.01,3884.88
2017-09-18 06:00:00,3884.88,3931.93,3859.74,3928.47
2017-09-18 07:00:00,3928.47,3984.71,3903.58,3955.0
2017-09-18 08:00:00,3954.99,3980.14,3930.0,3965.85
2017-09-18 09:00:00,3968.12,3990.0,3924.9,3928.72
2017-09-18 10:00:00,3928.76,3969.95,3884.83,3969.95
2017-09-18 11:00:00,3969.94,3988.0,3950.0,3960.0
2017-09-18 12:00:00,3960.0,4096.9,3956.4,4059.86
2017-09-18 13:00:00,4059.81,4130.0,4051.15,4110.01
2017-09-18 14:00:00,4110.01,4113.0,4004.0,4018.0
2017-09-18 15:00:00,4019.26,4066.64,3986.0,4032.12
2017-09-18 16:00:00,4032.04,4034.99,3986.24,4016.03
2017-09-18 17:00:00,4015.97,4015.97,3948.17,4000.0
2017-09-18 18:00:00,4000.0,4039.99,4000.0,4031.02
2017-09-18 19:00:00,4030.59,4032.06,3985.32,4020.0
2017-09-18 20:00:00,4019.99,4021.76,3995.0,4007.05
2017-09-18 21:00:00,4007.05,4092.68,4007.04,4080.0
2017-09-18 22:00:00,4080.0,4124.0,4057.52,4071.21
2017-09-18 23:00:00,4071.21,4100.0,4060.01,4100.0
2017-09-19 00:00:00,4100.0,4125.22,4001.21,4012.96
2017-09-19 01:00:00,4012.97,4043.52,3924.99,3969.44
2017-09-19 02:00:00,3969.37,4005.7,3938.33,3999.98
2017-09-19 03:00:00,3999.98,4015.0,3950.22,3990.41
2017-09-19 04:00:00,3990.41,3997.99,3896.0,3908.02
2017-09-19 05:00:00,3907.98,3927.55,3850.44,3902.45
2017-09-19 06:00:00,3902.46,3979.98,3889.86,3965.21
2017-09-19 07:00:00,3965.21,3965.21,3885.64,3913.57
2017-09-19 08:00:00,3913.57,3988.0,3913.56,3958.29
2017-09-19 09:00:00,3958.29,3978.99,3937.07,3963.0
2017-09-19 10:00:00,3963.0,4023.9,3963.0,4023.04
2017-09-19 11:00:00,4023.13,4024.99,3980.02,3999.94
2017-09-19 12:00:00,3999.94,4037.59,3997.08,4017.36
2017-09-19 13:00:00,4017.36,4019.64,3957.73,3960.09
2017-09-19 14:00:00,3959.29,3996.79,3951.8,3978.95
2017-09-19 15:00:00,3978.95,4022.96,3960.45,4020.01
2017-09-19 16:00:00,4020.01,4020.01,3998.74,4005.01
2017-09-19 17:00:00,4005.01,4049.0,4000.12,4000.13
2017-09-19 18:00:00,4000.13,4019.99,3981.9,3991.62
2017-09-19 19:00:00,3991.61,3991.61,3900.0,3910.01
2017-09-19 20:00:00,3910.01,3929.99,3874.29,3904.96
2017-09-19 21:00:00,3904.78,3943.04,3892.2,3908.91
2017-09-19 22:00:00,3906.76,3931.87,3891.31,3923.07
2017-09-19 23:00:00,3923.07,3941.23,3910.1,3910.11
2017-09-20 00:00:00,3910.11,3919.67,3898.66,3909.88
2017-09-20 01:00:00,3909.88,3918.59,3893.54,3893.54
2017-09-20 02:00:00,3893.55,3935.4,3890.0,3900.01
2017-09-20 03:00:00,3900.01,3905.03,3885.0,3889.51
2017-09-20 04:00:00,3889.51,3889.51,3850.1,3860.48
2017-09-20 05:00:00,3860.48,3914.59,3850.01,3900.84
2017-09-20 06:00:00,3900.84,3959.0,3875.99,3955.24
2017-09-20 07:00:00,3955.01,3965.35,3935.6,3949.96
2017-09-20 08:00:00,3949.85,3949.85,3927.0,3936.52
2017-09-20 09:00:00,3936.52,3950.87,3923.51,3923.51
2017-09-20 10:00:00,3923.52,3930.0,3900.85,3930.0
2017-09-20 11:00:00,3930.0,3930.0,3900.85,3920.88
2017-09-20 12:00:00,3918.3,3954.53,3910.8,3938.96
2017-09-20 13:00:00,3938.97,4012.0,3927.93,4003.4
2017-09-20 14:00:00,4003.5,4044.0,3990.0,4009.98
2017-09-20 15:00:00,4009.98,4009.99,3988.64,3990.7
